index,Chassis Number,Marble SN,Quartz SN,Location
1,NA10-1003,8,18,DAQ1
2,NA10-1004,12,8,DAQ18
3,NA10-1005,19,35,DAQ3
4,NA10-1006,112,101,DAQ4
5,NA10-1007,113,105,DAQ5
6,NA10-1008,5,15,DAQ6
7,NA10-1009,35,10,DAQ7
8,NA10-1010,111,26,DAQ2
9,NA10-1012,31,27,DAQ9
10,NA10-1013,20,24,DAQ10
11,NA10-1014,26,17,DAQ11
12,NA10-1015,34,21,DAQ12
13,NA10-1016,28,11,DAQ13
14,NA10-1017,23,20,DAQ14
15,NA10-1018,38,38,DAQ15
16,NA10-1019,16,19,DAQ16
17,NA10-1020,22,16,DAQ17
18,NA10-1021,13,112,DAQ25
19,NA10-1022,106,7,DAQ19
20,NA10-1023,17,22,DAQ20
21,NA10-1024,25,102,DAQ21
22,NA10-1025,27,25,DAQ22
23,NA10-1026,24,5,DAQ23
24,NA10-1027,15,110,DAQ24
25,NA10-1028,112,N/I,Spare in Ohio
26,NA10-1029,11,33,DAQ26
27,NA10-1030,102,106,DAQ27
28,NA10-1031,33,28,DAQ28
29,NA10-1032,116,107,DAQ29
30,NA10-1033,40,104,DAQ30
31,NA10-1034,10,31,DAQ31
32,NA10-1035,29,117,DAQ8
33,NA10-1036,117,4,DAQ32
